id,nome,nome.1,dia_nasc,mes_nasc,ano_nasc,dia_morte,mes_morte,ano_morte
1,Paulo Mendes de Almeida,masculino,1.0,2.0,1905.0,2.0,3.0,1986.0
2,Suzana Barros,feminino,,,,,,
5,Julia Miranda,feminino,,,,,,
10,Aracy Amaral,feminino,22.0,2.0,1930.0,,,
11,Ana Maria de Moraes Belluzzo,feminino,,,,,,
20,Geraldo Edson de Andrade,masculino,,,,,,
23,Maria Helena Andrés,feminino,2.0,8.0,1922.0,,,
28,João da Cruz Vicente de Azevedo,masculino,,,,,,
45,Antonio Dias,masculino,,,1944.0,1.0,8.0,2018.0
47,Artur Barrio,masculino,1.0,2.0,1945.0,,,
48,Hélio Oiticica,masculino,26.0,7.0,1937.0,22.0,3.0,1980.0
52,Carlos Lemos,masculino,,,1925.0,,,
54,Wendy Watriss,feminino,15.0,2.0,1943.0,,,
55,Waly Salomão,masculino,3.0,9.0,1943.0,5.0,5.0,2003.0
56,Ivo Zanini,masculino,9.0,9.0,1929.0,,,
59,Monteiro Lobato,masculino,18.0,4.0,1882.0,4.0,7.0,1948.0
67,Francilins,masculino,6.0,3.0,1978.0,,,
73,Raymond Asseo,masculino,,,,,,
83,Pietro Maria Bardi,masculino,21.0,2.0,1900.0,1.0,10.0,1999.0
128,Marta Rossetti Batista,feminino,6.0,6.0,1940.0,31.0,5.0,2007.0
134,Jacob Klintowitz,masculino,28.0,6.0,1941.0,,,
139,Alice Brill,feminino,13.0,12.0,1920.0,31.0,6.0,2013.0
146,Quirino Campofiorito,masculino,7.0,9.0,1902.0,16.0,9.0,1993.0
172,Henri Matisse,masculino,,,1869.0,,,1954.0
174,Margarida Cintra Gordinho,feminino,,,,,,
182,Fábio Sampaio,masculino,29.0,10.0,1971.0,,,
184,Luis R. Cancel,masculino,,,,,,
187,Antônio Parreiras,masculino,20.0,1.0,1860.0,17.0,10.0,1937.0
190,Lauro Cavalcanti,masculino,14.0,1.0,1954.0,,,
192,Ladi Biezus,masculino,,,,,,
201,Alvarus,masculino,27.0,1.0,1904.0,,,1985.0
203,Angelo Agostini,masculino,8.0,4.0,1843.0,23.0,1.0,1910.0
213,Dawn Ades,feminino,,,1943.0,,,
226,Marcel Gautherot,masculino,14.0,7.0,1910.0,8.0,10.0,1996.0
249,Geraldo Ferraz,masculino,,,1905.0,,,1979.0
252,Sérgio Milliet,masculino,20.0,9.0,1898.0,9.0,11.0,1966.0
253,Aline Figueiredo,feminino,,,1946.0,,,
275,Adriana Rede,não cadastrado,,,,,,
281,Gregório Gruber,masculino,,,1951.0,,,
287,Ferreira Gullar,masculino,10.0,9.0,1930.0,4.0,12.0,2016.0
291,Fredi Kleemann,masculino,,,1927.0,,,1974.0
295,Fernando Cocchiarale,masculino,,,1951.0,,,
296,Anna Bella Geiger,feminino,,,1933.0,,,
297,Waldemar Cordeiro,masculino,12.0,4.0,1925.0,30.0,6.0,1973.0
316,Boris Kossoy,masculino,,,1941.0,,,
318,José Roberto Teixeira Leite,masculino,16.0,8.0,1930.0,,,
341,Lourival Gomes Machado,masculino,,,1917.0,17.0,3.0,1967.0
366,Tito de Alencastro,masculino,5.0,7.0,1934.0,17.0,8.0,1999.0
368,Antonio Manuel,masculino,,,1947.0,,,
383,Carlos Moskovics,masculino,,,1916.0,,,1988.0
400,Frederico Morais,masculino,25.0,1.0,1936.0,,,
401,Claus Meyer,masculino,4.0,4.0,1944.0,,,1996.0
407,Lew Parrella,masculino,,,1927.0,5.0,11.0,2014.0
408,Paulo Ramos Machado,masculino,,,,,,
409,Igor Marques,masculino,,,,,,
412,Flávio Motta,masculino,2.0,10.0,1923.0,8.0,7.0,2016.0
430,Veleida Pereira Fona,feminino,,,1927.0,,,
431,Oscar Niemeyer,masculino,15.0,12.0,1907.0,5.0,12.0,2012.0
432,José Neistein,masculino,,,1934.0,,,
435,Fayga Ostrower,feminino,14.0,9.0,1920.0,13.0,9.0,2001.0
437,Orlando Marques de Paiva,não cadastrado,,,,,,
444,Israel Pedrosa,masculino,18.0,4.0,1926.0,7.0,2.0,2016.0
452,Décio Pignatari,masculino,21.0,8.0,1927.0,2.0,12.0,2012.0
454,Marcelo Eduardo Leite,masculino,,,,,,
461,Luiz Marques,masculino,,,1952.0,,,
463,Roberto Pontual,masculino,,,1939.0,2.0,5.0,1994.0
464,Gilberto Chateaubriand,masculino,,,1925.0,,,
483,Gerson Zanini,masculino,25.0,7.0,1945.0,,,
490,Pierre Restany,masculino,,,1930.0,29.0,5.0,2003.0
513,Orlando DaSilva,masculino,4.0,6.0,1923.0,,,
522,Joaquim Paiva,masculino,23.0,3.0,1946.0,,,
526,Glaucia S. Cohn,feminino,,,,,,
531,Nellie Solitrenick,feminino,,,,,,
533,Giovana Moriconi,feminino,,,,,,
537,Armindo Trevisan,masculino,6.0,9.0,1933.0,,,
547,Walter Zanini,masculino,21.0,5.0,1925.0,29.0,1.0,2013.0
548,Wilton Azevedo,masculino,11.0,5.0,1958.0,,,
550,Matilde Matos,feminino,,,,,,
557,César Luís Pires de Mello,masculino,,,,,,
573,Icléia Cattani,feminino,,,,,,
575,Paulo Herkenhoff,masculino,,,1949.0,,,
577,Wilson Coutinho,masculino,,,1947.0,3.0,8.0,2003.0
592,Zig Koch,masculino,,,1926.0,,,
598,Maria Luísa,feminino,,,1919.0,,,
601,Dominique Edouard Baechler,masculino,,,,,,
604,Dolino,masculino,,,1945.0,,,
609,Sonia von Brüsky,feminino,,,1941.0,,,
637,Márcia de Paiva,feminino,,,,,,
641,Cacilda Teixeira da Costa,feminino,2.0,4.0,1941.0,,,
648,Alexandre Battibugli,masculino,,,,,,
650,Célio Apolinário,masculino,,,,,,
652,Chris Parente,masculino,,,,,,
653,Juraci Dórea,masculino,15.0,10.0,1944.0,,,
655,Ana Rosário,feminino,,,,,,
656,Cláudio Versiani,masculino,,,,,,
658,Ado Malagoli,masculino,,,1906.0,4.0,3.0,1994.0
659,Mario Quintana,masculino,30.0,7.0,1906.0,5.0,5.0,1994.0
662,Emanoel Araújo,masculino,15.0,11.0,1940.0,,,
663,Dercílio Vanzelli,masculino,,,,,,
664,Elza Maria Ajzenberg,feminino,,,,,,
665,Armando Rozário,não cadastrado,,,,,,
666,Eduardo Pozella,masculino,,,,,,
669,Ana Araujo,feminino,,,,,,
670,Ernani d'Almeida,masculino,,,,,,
673,Alexandre Sassaki,masculino,,,,,,
675,Fábio Castelo,masculino,,,,,,
677,Geraldo Mori,masculino,,,,,,
678,Germano Lüders,masculino,,,,,,
679,Gilberto Tadday,masculino,,,,,,
680,Gilvan Barreto,masculino,29.0,7.0,1973.0,,,
682,Sergio Telles,masculino,14.0,4.0,1936.0,,,
684,Marcus de Lontra Costa,masculino,,,1954.0,,,
687,Italo Campofiorito,masculino,,,1933.0,,,
692,Hamilton Corrêa,masculino,,,,,,
693,Henrique Gualtieri,masculino,,,,,,
696,Amilton Vieira,masculino,,,,,,
697,Ignacio Aronovich,masculino,,,,,,
698,J. Ferreira da Silva,masculino,,,,,,
701,João Ávila,masculino,,,,,,
702,João Ramid,masculino,,,,,,
706,Oswaldo Teixeira,masculino,11.0,8.0,1905.0,20.0,5.0,1974.0
707,Johann Moritz Rugendas,masculino,29.0,3.0,1802.0,29.0,5.0,1858.0
710,Virgilio Mauricio,masculino,4.0,4.0,1892.0,13.0,12.0,1937.0
715,Alberto Ferreira,masculino,,,1932.0,11.0,3.0,2007.0
717,Pedro Martins Caldas Xexéo,masculino,16.0,11.0,1943.0,,,
722,J. A. Simpson,masculino,,,1975.0,,,
726,Luiz Ernesto Machado Kawall,masculino,,,1927.0,,,
732,Gianfranco Dal Bianco,masculino,,,,,,
740,Leonel Kaz,masculino,,,,,,
755,Renée Lefèvre,feminino,17.0,7.0,1910.0,26.0,4.0,1996.0
759,Ana Mae Barbosa,feminino,17.0,7.0,1936.0,,,
780,Nelson Brissac Peixoto,masculino,,,1952.0,,,
801,Mario Schenberg,masculino,2.0,7.0,1914.0,10.0,11.0,1990.0
805,Piedade Epstein Grinberg,não cadastrado,,,,,,
819,Antonio Costa,masculino,,,,,,
824,Tarsila do Amaral,feminino,1.0,10.0,1886.0,17.0,1.0,1973.0
826,Paul Gauguin,masculino,7.0,6.0,1848.0,8.0,5.0,1903.0
832,Dayalis Gonzáles Perdomo,feminino,,,,,,
838,Lourdes Cedran,feminino,29.0,8.0,1930.0,,,
845,Hans-Michael Herzog,masculino,,,,,,
852,Ana Bellenzier,feminino,,,,,,
859,Vital Brazil,masculino,1.0,2.0,1909.0,10.0,8.0,1997.0
860,Henrique Mindlin,masculino,,,1911.0,,,1971.0
862,Felipe Taborda,masculino,,,,,,
880,Annateresa Fabris,feminino,25.0,3.0,1947.0,,,
884,Anna Carboncini,não cadastrado,,,,,,
887,Sergio Greif,masculino,,,1968.0,,,
893,Sérgio Zalis,masculino,,,,,,
915,Adolfo Morales de Los Rios Filho,masculino,23.0,5.0,1887.0,20.0,9.0,1973.0
917,Mario Baldi,masculino,,,1896.0,,,1957.0
947,Luciano Figueiredo,masculino,,,1948.0,,,
950,Lygia Pape,feminino,7.0,4.0,1927.0,3.0,5.0,2004.0
962,Carlos Zilio,masculino,,,1944.0,,,
963,Gilberto Ferrez,masculino,,,1908.0,23.0,5.0,2000.0
971,Di Cavalcanti,masculino,6.0,9.0,1897.0,26.0,10.0,1976.0
972,Vera D'Horta,feminino,30.0,6.0,1944.0,,,
974,Pedro Manuel-Gismondi,masculino,20.0,12.0,1925.0,29.0,12.0,1999.0
978,Max Perlingeiro,masculino,,,,,,
983,Lamberto Scipioni,masculino,11.0,12.0,1949.0,,,
992,Mary Di Iorio,feminino,,,1945.0,,,
997,Jorge Eduardo,masculino,,,1936.0,,,
1001,Ronaldo Brito,masculino,1.0,8.0,1949.0,,,
1041,Tomoo Handa,masculino,,,1906.0,,,1996.0
1054,Itajahy Martins,masculino,13.0,12.0,1927.0,25.0,1.0,1991.0
1073,Edward Kienholz,masculino,,,1927.0,,,1994.0
1077,Roberto Linsker,masculino,,,1964.0,,,
1085,Djalma Limongi Batista,masculino,9.0,10.0,1947.0,,,
